image,point,x,y
../../aesthetics/mit/males/i1.jpg,68,173,82
../../aesthetics/mit/females/i3.jpg,68,183,69
../../aesthetics/mit/males/i4.jpg,68,178,71
../../aesthetics/mit/females/i5.jpg,68,179,60
../../aesthetics/mit/females/i6.jpg,68,175,74
../../aesthetics/mit/males/i7.jpg,68,164,53
../../aesthetics/mit/males/i10.jpg,68,174,76
../../aesthetics/mit/males/i12.jpg,68,177,80
../../aesthetics/mit/males/i13.jpg,68,182,70
../../aesthetics/mit/females/i14.jpg,68,183,59
../../aesthetics/mit/females/i16.jpg,68,177,46
../../aesthetics/mit/males/i18.jpg,68,177,88
../../aesthetics/mit/males/i19.jpg,68,176,69
../../aesthetics/mit/males/i22.jpg,68,181,82
../../aesthetics/mit/females/i24.jpg,68,170,64
../../aesthetics/mit/females/i25.jpg,68,175,77
../../aesthetics/mit/females/i27.jpg,68,171,63
../../aesthetics/mit/males/i28.jpg,68,182,57
../../aesthetics/mit/females/i30.jpg,68,175,67
../../aesthetics/mit/males/i32.jpg,68,177,67
../../aesthetics/mit/females/i35.jpg,68,169,55
../../aesthetics/mit/females/i36.jpg,68,184,80
../../aesthetics/mit/males/i37.jpg,68,176,68
../../aesthetics/mit/females/i38.jpg,68,175,74
../../aesthetics/mit/males/i39.jpg,68,173,73
../../aesthetics/mit/females/i40.jpg,68,176,80
../../aesthetics/mit/males/i41.jpg,68,176,82
../../aesthetics/mit/females/i42.jpg,68,174,69
../../aesthetics/mit/males/i44.jpg,68,173,89
../../aesthetics/mit/females/i45.jpg,68,175,73
../../aesthetics/mit/females/i46.jpg,68,169,79
../../aesthetics/mit/females/i47.jpg,68,173,62
../../aesthetics/mit/males/i49.jpg,68,179,97
../../aesthetics/mit/females/i50.jpg,68,187,63
../../aesthetics/mit/females/i51.jpg,68,178,44
../../aesthetics/mit/males/i53.jpg,68,176,57
../../aesthetics/mit/females/i54.jpg,68,174,70
../../aesthetics/mit/females/i55.jpg,68,183,64
../../aesthetics/mit/females/i57.jpg,68,176,82
../../aesthetics/mit/males/i60.jpg,68,186,95
../../aesthetics/mit/males/i62.jpg,68,179,80
../../aesthetics/mit/females/i63.jpg,68,178,59
../../aesthetics/mit/males/i66.jpg,68,178,86
../../aesthetics/mit/males/i67.jpg,68,183,125
../../aesthetics/mit/males/i68.jpg,68,184,66
../../aesthetics/mit/males/i69.jpg,68,175,85
../../aesthetics/mit/males/i70.jpg,68,174,88
../../aesthetics/mit/females/i71.jpg,68,176,64
../../aesthetics/mit/males/i72.jpg,68,182,95
../../aesthetics/mit/males/i74.jpg,68,182,83
../../aesthetics/gs/males/C2_146.jpg,68,240,135
../../aesthetics/gs/males/C2_047.jpg,68,228,103
../../aesthetics/gs/males/C2_081.jpg,68,230,122
../../aesthetics/gs/males/C2_172.jpg,68,227,94
../../aesthetics/gs/females/C2_021.jpg,68,227,108
../../aesthetics/gs/males/C2_045.jpg,68,212,99
../../aesthetics/gs/females/C2_137.jpg,68,245,94
../../aesthetics/gs/females/C2_032.jpg,68,226,91
../../aesthetics/gs/males/C2_090.jpg,68,243,109
../../aesthetics/gs/males/C2_166.jpg,68,236,80
../../aesthetics/gs/males/C2_083.jpg,68,222,120
../../aesthetics/gs/males/C2_084.jpg,68,229,134
../../aesthetics/gs/females/C2_135.jpg,68,243,78
../../aesthetics/gs/females/C2_039.jpg,68,237,103
../../aesthetics/gs/females/C2_142.jpg,68,239,117
../../aesthetics/gs/females/C2_131.jpg,68,241,124
../../aesthetics/gs/males/C2_158.jpg,68,237,144
../../aesthetics/gs/females/C2_132.jpg,68,244,122
../../aesthetics/gs/males/C2_035.jpg,68,241,110
../../aesthetics/gs/males/C2_103.jpg,68,223,90
../../aesthetics/gs/females/C2_130.jpg,68,223,92
../../aesthetics/gs/males/C2_082.jpg,68,231,99
../../aesthetics/gs/males/C2_048.jpg,68,230,116
../../aesthetics/gs/males/C2_036.jpg,68,217,89
../../aesthetics/gs/females/C2_094.jpg,68,244,109
../../aesthetics/gs/females/C2_008.jpg,68,236,91
../../aesthetics/gs/females/C2_010.jpg,68,225,109
../../aesthetics/gs/females/C2_216.jpg,68,233,114
../../aesthetics/gs/females/C2_294.jpg,68,231,80
../../aesthetics/gs/males/C2_285.jpg,68,242,128
../../aesthetics/gs/females/C2_234.jpg,68,223,97
../../aesthetics/gs/females/C2_288.jpg,68,227,89
../../aesthetics/gs/females/C2_210.jpg,68,234,130
../../aesthetics/gs/females/C2_179.jpg,68,228,88
../../aesthetics/gs/females/C2_277.jpg,68,227,118
../../aesthetics/gs/females/C2_215.jpg,68,235,120
../../aesthetics/gs/males/C2_224.jpg,68,232,106
../../aesthetics/gs/females/C2_253.jpg,68,242,92
../../aesthetics/gs/males/C2_258.jpg,68,223,74
../../aesthetics/gs/males/C2_297.jpg,68,242,116
../../aesthetics/gs/males/C2_190.jpg,68,233,122
../../aesthetics/gs/females/C2_219.jpg,68,216,84
../../aesthetics/gs/females/C2_201.jpg,68,219,109
../../aesthetics/gs/males/C2_230.jpg,68,229,99
